year,africa,north_africa,algeria,libya,morocco,tunisia,sub_saharan,angola,benin,botswana,burkina_faso,burundi,cameroon,cape_verde,central_african_rep,chad,republic_of_congo,dem_republic_of_congo,cote_divoire,djibouti,equatorial_guinea,eritrea,ethiopia,gabon,gambia,ghana,guinea,guinea_bissau,kenya,lesotho,liberia,madagascar,malawi,mali,mauritania,mauritius,mozambique,namibia,niger,nigeria,rwanda,senegal,seychelles,sierra_leone,somalia,south_africa,south_sudan,sudan,eswatini,tanzania,togo,uganda,zambia,zimbabwe,americas,central_america_and_the_caribbean,belize,costa_rica,cuba,dominican_republic,el_salvador,guatemala,haiti,honduras,jamaica,mexico,nicaragua,panama,trinidad_and_tobago,north_america,canada,usa,south_america,argentina,bolivia,brazil,chile,colombia,ecuador,guyana,paraguay,peru,uruguay,venezuela,asia_and_oceania,central_asia,kazakhstan,kyrgyzstan,tajikistan,turkmenistan,uzbekistan,east_asia,china,japan,north_korea,south_korea,mongolia,taiwan,south_asia,afghanistan,bangladesh,india,nepal,pakistan,sri_lanka,south_east_asia,brunei,cambodia,indonesia,laos,malaysia,myanmar,philippines,singapore,thailand,timor_leste,viet_nam,oceania,australia,fiji,new_zealand,papua_new_guinea,europe,central_europe,albania,bosnia_herzegovina,bulgaria,croatia,czechia,czechoslovakia,estonia,german_dr,hungary,kosovo,latvia,lithuania,montenegro,north_macedonia,poland,romania,serbia,slovakia,slovenia,yugoslavia ,eastern_europe,armenia,azerbaijan,belarus,georgia,moldova,russia,ukraine,ussr,western_europe,austria,belgium,cyprus,denmark,finland,france,germany,greece,iceland,ireland,italy,luxembourg,malta,netherlands,norway,portugal,spain,sweden,switzerland,uk,middle_east,bahrain,egypt,iran,iraq,israel,jordan,kuwait,lebanon,oman,qatar,saudi_arabia,syria,turkey,uae,yemen,north_yemen
1974,,,427.3341969,1691.304677,758.4244905,82.00892397,,,18.88649209,,17.17585354,29.04628465,151.5261029,,,,76.18972269,192.3356788,190.8573414,,,,273.4858781,34.79341098,,118.8706008,,,471.1136538,,,67.69525862,12.454813,34.1542875,,3.155459892,,,,4476.024398,33.98730107,,,20.43851633,71.07273331,2646.259392,,501.1299376,,272.1777796,28.32009465,331.3187254,,,,,,0,,191.4236619,162.4001432,206.1382555,,82.44032597,,1396.397261,0.072963088,,75.30738891,,10821.35898,454518.3722,,4020.93584,185.0756782,5965.548284,1994.793852,761.3564637,661.8228736,32.63857591,105.7175232,4685.871876,1149.204227,18.42466724,,,,,,,,,,21969.49868,,4110.148115,,,,6.056124323,211.5732675,7310.146276,23.82023739,1643.65491,65.49155936,,,,1263.881287,,899.5837285,362.7242817,2176.479862,993.7899942,1335.364369,,,,9057.780345,4.63763269,1569.858569,,,,,,,,,6074.040605,,,2633.888448,,,,,,5666.042889,,,,,,,,,,,,,,,,2374.427537,7026.030588,,3736.802762,1348.749373,37501.96708,56503.4973,5109.17096,0,604.7426869,18923.3006,83.18024256,,10857.54025,3054.642836,5186.160126,11426.16112,5621.32283,5928.865503,44302.5726,,102.6694261,5701.619009,12088.61627,2016.795307,14198.86684,759.7607595,1903.834019,,690.4818303,,,,3442.621995,,,
1975,,,476.3318492,1033.310243,1113.67127,116.5733398,,,17.97467516,,37.10161849,27.88265306,160.4826863,,,,80.59360937,137.1934057,170.1162883,,,,429.4215213,38.71041696,,112.5585697,,,470.8240321,,,64.98041232,18.80866071,47.25888555,,4.002962313,,,14.81393348,7313.684191,31.00121682,,,17.46652789,64.61538462,3324.320277,,433.4307217,,256.8795561,29.3290478,309.660184,,,,,,0,,191.269984,159.8803688,288.0027006,,96.32350641,,1503.312689,0.082662691,,84.83152519,,11498.81081,429557.0754,,5104.407467,251.3055062,6545.101723,1535.619815,857.8663401,782.3007528,93.36314679,137.0845892,6181.237347,1076.335989,19.74494556,,,,,,,,,,22858.0238,,4743.959688,,,,6.357396321,217.2549379,8204.554948,28.75546902,1720.917267,69.40658238,,,,1617.587902,,950.1037945,313.8436704,,1123.698006,1449.766997,,,,9204.551568,6.359573231,1599.14007,32.44554401,,,,,,,,6529.097644,,,2835.873284,,,,,,6035.530256,,,,,,,,,,,,,,,,2639.627035,7650.468579,,4091.63398,1565.391735,39184.33669,56247.43823,6572.432516,0,733.8845403,17619.91221,88.33808676,,11413.2655,3312.935794,3413.327403,10416.84321,5763.124174,5592.446647,46544.42591,,55.24145496,5406.860269,16438.06815,2048.885441,15687.76033,745.5531195,,,1426.833332,,,,6020.345816,,,
1976,,,663.8693312,1110.712122,1563.20177,134.6408186,,,15.6991773,,48.83331087,33.3934621,168.6837612,,,,85.67052369,83.66121678,193.4907896,,,,342.0166288,42.89360645,,81.38857929,,,675.5364873,3.701053701,,75.52591535,17.46597205,55.64562767,,4.761197196,,,14.92346257,5230.194873,33.60385912,,,16.90426025,64.50821683,4124.897762,,639.4368291,,270.1153889,37.50936865,274.6757031,,,,,,0,,205.227889,195.9400066,321.5120289,,101.708887,80.09132789,1687.195606,0.110072265,,101.3854462,,11675.09774,417872.1177,,9223.036462,275.4415375,7651.447009,1613.272633,805.3629277,810.8187941,97.08240313,141.0762492,7002.565569,898.3434069,15.29175261,,,,,,,,,,23059.11838,,6818.962025,,4610.769641,,8.108200123,384.5099368,9420.428287,38.03129239,1735.112602,63.85789289,,,,1617.804068,,981.0035799,301.0734597,2804.567443,1357.327971,1781.528467,,,,9345.520694,8.341153528,1536.695786,86.68402726,,,,,,,,6459.502759,,,2661.493908,,,,,,6278.325941,,,,,,,,,,,,,,,,2694.203026,8050.987568,,4005.452771,1384.362397,40879.08072,55841.174,7192.593577,0,758.2087813,17565.8157,94.83653902,,11265.64911,3391.942747,2733.790049,12341.22779,5760.188532,6336.028288,45862.31838,,72.15459904,5599.957056,18523.34435,2011.306465,14507.93565,1131.393837,,,1526.768076,,,,6325.195255,,,
1977,,,579.3494743,1536.243543,1792.66812,178.043519,,,20.79766707,15.79552149,45.29581627,45.65017891,172.1010568,,,,,71.56183915,153.1104296,,,,309.2204283,55.70086055,,51.44705929,,,1132.865012,3.848275742,,100.2007716,22.67324054,54.79362865,,4.658519074,,,16.75324157,5548.891296,45.60757016,,,18.83253756,70.19486271,4588.225617,,659.9564939,16.23023884,334.1899337,46.70694921,190.0616119,,,,,,0,,206.4345482,243.9870172,387.8352232,,125.8556015,80.25856397,1575.832534,0.139603363,,108.8902634,,12214.70226,433642.4828,,9768.808485,279.5027342,7000.171769,2135.596335,780.3479224,1257.070233,64.06247394,153.0834259,10156.3494,962.7901278,17.91194493,,,,,,,,,,23736.91837,,8105.262522,,5599.959214,,8.553767158,463.6529319,8950.355459,38.48710199,1727.51184,78.94330669,,,,1677.928848,,1314.666228,350.2662604,2680.081332,1613.872992,2143.790429,,,,9394.692487,10.57221092,1555.949165,83.87997369,,,,,,,,6680.038168,,,2770.791778,,,,,,6679.475256,,,,,,,,,,,,,,,,2780.132716,8258.507924,,4025.325072,1419.258488,43108.82988,55601.65972,7625.085478,0,772.2495645,18796.41993,92.92020905,,12555.57886,3461.194315,2518.449618,12537.13114,5802.829481,6007.036091,43860.73796,,94.28856275,6207.19784,15511.5831,2100.293672,12381.52542,873.4419941,2889.507988,,1464.418984,,19261.71391,,6090.272145,,,
1978,,,627.5768179,1807.004359,1596.713947,198.0051332,,,14.85017534,36.07288193,54.31210018,44.97144701,182.0067214,,,,70.92482914,62.50223694,209.4284987,,,,356.977337,,,37.95497945,,,1466.309237,4.895444185,,102.5516274,34.97727033,44.90769465,,4.930983687,,,18.75587443,4327.038896,33.65376531,,,17.80329596,164.2785066,4117.042079,,487.4437602,22.91700168,644.9963142,45.99890735,150.0087604,,,,,,0,,237.5506005,263.6055619,341.4821165,,161.3054765,,1602.294161,0.167014982,,117.7093687,,12725.13717,436385.6747,,10438.32894,337.700013,6957.079348,2512.618324,909.9861084,900.7210901,39.72600374,173.3296567,7700.342593,999.9953178,18.48718041,,,,,,,,,,25098.58878,,10095.60688,,6425.995284,,,413.5953294,9359.407434,39.09981831,1838.321685,96.79562128,,,,1832.176472,,1122.771822,388.5341206,2050.756486,1579.093224,2708.3812,,,,9498.22976,18.23194559,1645.153091,87.42107935,,,,,,,,6803.819696,,,3139.150709,,,,,,6403.78607,,,,,,,,,,,,,,,,3012.663703,8809.938095,,4181.979222,1476.413901,45552.17503,57965.83531,7788.55014,0,826.5281018,19609.43766,101.0760569,,12133.57551,3696.495269,2543.81982,13052.86785,5973.149686,6016.860215,45254.97325,,229.0326986,5048.276422,14759.44061,1986.021658,13455.44689,880.173414,2515.9657,,1923.668074,,21839.04455,,5576.862861,,,
1979,,,620.7233374,2248.862308,1600.29636,189.7991818,,,26.3186937,54.09030286,44.05604189,38.67290183,199.1068889,,,,85.67210841,57.08923333,200.9272458,,,,477.0333755,79.31007719,,25.0915363,,,1596.016845,5.468572357,,133.0188725,49.40143189,51.60241335,,6.24233179,,,19.50420001,3741.527588,38.44537806,137.6364184,,19.6964771,142.6712217,3676.894489,,576.5853606,23.48756372,541.7294235,39.90578055,114.5208118,,,,,,0,,253.5028048,360.97224,385.8247964,,165.3754846,,1781.032306,0.111155892,,152.505071,,12320.1396,438890.2207,,10845.7465,352.5937613,7263.011998,2808.229874,1031.680168,926.440536,33.58490605,123.5871527,5196.866736,1171.958623,18.39579313,,,,,,,,,,26708.46179,,9481.858241,,7627.582968,,,392.7373895,10085.53287,43.5306082,1944.696606,111.539329,,,,2118.571558,,1312.766254,370.6263669,2453.488435,1566.224027,3149.699685,,,,9816.141553,22.07070482,1650.528629,91.24436557,,,,,,,,6740.734437,,,3120.637233,,,,,,6433.658914,,,,,,,,,,,,,,,,3199.862935,9003.766976,,4208.112938,1647.81247,46612.78408,58775.03073,7544.907266,0,912.3692528,20867.14976,104.0551421,,12866.58299,3790.073915,2585.293954,13980.02702,6196.491665,6291.470414,46669.62738,,298.7855114,3811.639801,8221.783413,,11973.03481,991.9529802,2819.166401,,1502.390874,,28072.09084,,4948.273368,,,
1980,,,706.0191901,2578.944863,1841.845576,202.2115413,,,31.63752492,59.35165031,43.05050686,52.17542694,204.0362546,,,,86.8488504,50.2619541,200.6405164,5.765069594,,,593.6988224,84.60102233,,30.38728593,42.08495722,,1298.982979,9.427085355,,123.3717387,47.89419576,44.36256825,,11.95212128,96.65292795,,17.11621091,3038.882974,42.69166321,128.5410105,,26.02004272,97.58839158,3685.718292,,664.9202683,23.61633105,256.7977443,38.84406185,155.4783399,,181.0038459,,,,0,,189.9851242,349.2697426,400.4817352,,161.1362246,,1691.328078,0.126592039,,176.1301194,,12964.75575,437877.4006,,9652.64447,382.1687498,6373.601439,2962.044558,1184.08743,920.8385796,37.30769821,141.913108,7647.37715,1417.432128,16.39054401,,,,,,,,,,27136.05008,,10387.38375,,7691.305549,,,413.1128324,10350.10419,44.06348701,2101.089641,103.0449029,,,,2460.483382,,1628.554306,387.2169202,2125.581543,1760.200985,3021.965449,,,,10322.51044,20.43353444,2291.613673,98.76044914,,,,,,,,7017.150471,,,3113.894489,,,,,,6075.517536,4149.248962,,,,,,,,,,,,,,,3198.331701,9178.261612,,4246.322562,1922.041483,47538.45819,59563.57391,6525.549117,0,960.3794553,20334.8243,120.8104598,,12518.47207,3826.194933,2802.614531,14495.78378,6052.79072,6257.671567,49765.08619,,316.420427,3725.595579,6665.865791,,12689.39683,922.5167813,2782.676981,2666.400314,1502.118503,2163.430012,31380.88066,,5128.682901,,,
1981,,,627.4956551,1203.359604,1877.265846,266.944109,,,29.37488787,53.70618569,49.37522152,50.25568028,285.3541358,,,,122.6414135,27.36859823,184.1854218,16.68254943,,,571.2949825,128.8140204,,22.75730429,29.97658317,,1259.774345,10.0605413,,116.2819286,34.2221716,41.78686983,,11.69358963,108.3709233,,14.69906461,2002.787956,49.4631201,140.4658385,,23.10085271,94.52595937,4077.581372,,559.9323749,20.86330492,294.3263827,37.95992871,136.9901989,,150.9292964,,,4.598245634,0,,210.3649389,384.1488086,563.3341734,,156.3270646,92.4421828,2239.029487,0.155371236,,146.707377,,12809.26705,487735.2565,,10274.39767,434.2134013,6220.417164,3174.766539,1118.255127,885.8242014,34.45567114,185.5435945,6681.891577,1870.647486,14.21691726,,,,,,,,,,28108.90773,,10762.51513,,7148.360293,,,436.9321716,10927.52394,44.56364526,2282.779132,91.35439496,,,,2772.448999,,2194.242193,433.0209774,2208.365175,1952.014313,2947.092071,,,,11021.60284,21.0444578,2176.113367,90.38055539,,,,,,,,7021.650145,,,3214.362915,,,,,,6141.476079,4188.910901,,,,,,,,,,,,,,,3099.473453,9259.561683,,4291.717926,1797.407831,48721.26694,60263.46251,7724.055906,0,919.1632022,21384.86323,125.0531344,,12646.28274,3867.877529,2790.034546,14723.26712,5949.488376,6246.851413,48747.19505,,387.5198173,4507.623123,9917.877977,,14890.99005,1001.624232,2929.365441,2096.990396,1810.677726,3408.880077,36542.73522,,5786.378469,,,
1982,,,724.4826686,1389.049197,1945.177443,403.3789137,,,32.88383802,44.94201494,51.63453086,58.02588958,333.4953247,,,,163.4247542,53.92462621,194.486324,91.72176252,,,569.4877338,133.852692,,16.20232148,24.52292119,11.91115873,1273.675018,13.40556785,,,25.73835187,45.38368644,,6.773052981,102.3830552,,14.55219741,1568.377551,46.08613274,121.7707482,,17.41469834,81.8696331,4010.377669,,612.1940289,20.86751083,283.4348485,34.00199596,104.1157095,,168.429323,,,5.333949044,0,,196.9860037,414.1220917,609.7753526,,158.8535584,103.5412746,2164.733571,,,,,13923.54839,576826.6583,,8854.491516,263.0781699,7198.540636,3552.873565,1104.134096,895.5647449,33.63212514,278.2882755,8561.78437,1703.418292,19.5233522,,,,,,,,,,29034.80341,,11219.64539,,7840.159064,,,504.9137568,11856.52871,49.71958277,2750.799727,83.6342763,,,,2738.119087,,2089.757441,417.9338852,2126.981656,2062.865708,3142.525499,,,,11587.33065,28.20705588,1996.232594,,,,,,,,,7110.502676,,,3176.933748,,,,,,6771.437357,3772.969032,,,,,,,,,,,,,,,3232.980754,8952.645752,,4416.088777,1957.701175,49652.39491,59485.79877,7881.421825,0,930.83976,23858.97924,126.2430878,,13634.80465,4018.74281,2794.407429,15247.54723,5805.176272,6507.550289,53146.5589,,462.6646628,4984.291435,10656.08432,,13791.60719,1054.538452,3461.812122,1272.90734,1965.454499,4466.200168,40712.32889,,6325.759717,,,
1983,,,728.2367039,,1415.682109,496.4165024,,,43.56705797,44.99945364,49.38626833,51.94044176,327.2608264,,,83.21750011,,36.72195795,188.3611883,93.87040478,,,604.5009902,137.1545037,0.725258902,9.753535704,,19.51532293,1193.177099,11.00600717,,,20.78509954,43.18854725,,7.16546476,95.79670475,,16.72879373,1348.878682,44.40631255,122.2639511,,11.39058028,88.27861953,4075.174622,,874.8961921,20.33706431,243.0968411,31.88914252,72.98990474,,181.5819482,,,5.716667235,0,,186.489232,482.2333002,608.603042,,153.3135125,94.17834145,2072.69535,,,,,15175.29937,563293.8717,,10124.07265,184.1426901,6764.316369,2995.151473,1460.836654,774.1982707,26.07893844,260.892654,6918.390645,1298.534025,24.19717908,,,,,,,,,,30470.97781,,11678.81563,,7848.473777,,,643.9599149,12269.83914,55.4354393,3069.346526,146.7755628,,,,2514.925393,,1869.333395,401.6906769,2086.569416,1998.158334,3181.142443,,,,11986.70524,29.14852247,1947.13004,,,,,,,,,7240.648727,,,3246.305586,,,,,,6023.382915,3879.751174,,,,,,,,,,,,,,,3283.285763,8597.87141,,4451.134129,2236.442273,50573.45637,60002.20776,7189.435232,0,872.7106293,24380.49456,129.1182368,,12499.53,4193.834149,2686.791806,17082.48296,5738.671759,6594.430092,55510.18228,,264.9771811,5591.306103,9994.900807,,12277.66107,1077.60409,3712.367825,2266.173574,2317.99632,2681.756013,33056.10666,,5985.194698,,,
1984,,,683.9022826,,1272.499112,339.3891454,,,54.16004415,52.37546328,49.68348002,50.97234016,330.052501,11.13471694,,80.73714307,138.4844493,45.75579479,190.580163,91.70782663,,,577.5197987,137.8107915,0.938942353,17.85082365,,10.52605717,982.4091336,11.46675205,,90.93616722,17.6671188,42.45076164,,7.031789133,91.59207094,,15.23423864,901.3969397,39.93683523,115.6830726,,8.828827596,62.2861532,4390.770256,,1002.671729,18.52347343,215.6631132,36.27100304,117.7507041,284.2081794,154.5494526,,,6.209186658,0,,171.2255871,819.3716006,662.7584546,,169.3997307,75.39397961,2597.915938,,,,,16169.52024,592479.6924,,7943.445719,290.2124142,7168.283897,3049.146617,1663.891324,807.0283043,24.98289926,270.5174714,5034.88823,1098.29901,23.310134,,,,,,,,,,31863.57245,,11974.33311,,7907.955188,,,633.1929865,12979.54819,61.2666398,3298.619925,165.060688,,216.2398395,,2512.628018,,1723.572443,392.4524792,1338.274725,2464.009969,3478.65282,,,,12923.09669,30.44122904,2019.044956,,,,,,,,,7457.34493,,,3077.764868,,,,,,6803.554344,3956.024133,,,,,,,,,,,,,,,3313.614615,8232.465431,,4343.276843,2056.790407,50273.20729,59398.70059,7056.927722,0,844.2899112,25100.23028,129.7739895,,12709.73245,4039.335866,2500.380911,17498.75579,5817.649533,6663.571918,58263.17233,,237.3304004,5950.742932,8711.114644,,13353.72434,1037.679928,3832.533257,2670.582114,2714.641751,2563.573308,35502.47555,,5818.320146,,,
1985,,,640.6706263,,1822.957574,294.2283655,,,51.3511297,57.10064064,48.02779332,53.28044562,285.5719012,10.49742463,,74.5861715,154.8817179,38.56239057,190.7178896,89.68555653,,,492.4138948,156.8957741,1.266824323,34.60460865,,5.426615583,825.5710246,13.27312555,,87.30473667,20.44614158,46.98212816,55.93940759,6.6449451,77.06367348,,16.17382535,881.9497533,42.42979793,104.9821562,13.95530166,6.420369088,44.3,4359.675395,,711.956221,16.89178321,218.2855467,45.695716,152.8002876,229.0669482,157.8096692,,,5.856986774,0,,161.0399119,710.9822276,604.0022393,,190.1917838,62.92598121,2708.002526,,,,,16647.81667,635149.1028,,7339.293013,311.6576823,9847.33126,2964.787962,1525.279508,1032.057676,45.28976357,301.7424601,6057.237982,1059.43809,13.84186105,,,,,,,,,,33573.23865,,12945.19911,,8835.627947,,,582.6896743,14559.56452,65.69879147,3591.209236,588.6166804,,227.7270072,,2494.637267,,1538.667102,391.0040003,1437.570772,2889.934225,3742.656716,,,,13550.34256,27.89241742,2002.46382,94.93445908,,,,,,,,7876.70923,,,4799.964294,,,,,,7334.80356,8934.105915,,,,,,,,,,,,,,,3625.08429,8136.486167,85.03897131,4245.317007,2210.379773,50214.0739,59525.55934,7003.940792,0,870.4404554,24849.6225,126.2913384,33.77230307,12568.03554,4653.702491,2529.745831,17800.46484,5903.759258,7329.812055,58810.60343,,247.6872382,5962.629479,9102.802186,,12609.45922,1133.551106,3610.932086,1905.726264,2892.91422,4395.923178,29317.55186,,6172.724484,,,
1986,,,630.4447196,,1595.934928,252.5363018,,,52.28859622,83.77541235,71.77481044,53.24454472,255.6267352,10.868267,,85.28230668,,53.33097005,186.0431473,84.49178519,,,558.3737104,162.0695967,1.21082236,37.27509811,,7.2258782,988.5146502,14.45318641,,77.38207684,24.24077478,46.2207353,51.95379874,6.986019998,59.24024411,,17.0654031,775.4277592,47.5282114,100.2697963,16.23830378,12.90640195,46.85821697,4444.095742,,606.5934705,16.86200612,232.4366158,53.77309655,163.4763611,422.5147075,157.7688832,,,,0,,188.1952781,702.8329231,519.0893869,,204.5558867,67.71422355,2279.130163,,,,,16958.49251,677131.8594,,7310.231229,256.0215962,9007.915431,2915.474034,1660.514754,1079.272853,30.11277756,306.214107,5627.59067,1070.097152,16.38129048,,,,,,,,,,35050.75772,,13918.20112,,9172.078585,,,635.3515778,17211.0968,65.3329144,3860.708781,514.0666284,,239.7323068,2.058119491,2455.218969,,1318.346905,364.5140414,1517.398618,2821.723468,3571.864967,,,,13628.16865,28.0269232,2184.112278,95.48405012,,,,,,,,7811.527978,,,3113.062128,,,,,,7611.855257,9478.186355,,,,,,,,,,,,,,,3742.792806,8472.229506,112.6646077,4089.631262,2358.370049,51689.17358,61104.64601,5984.835142,0,894.0413386,26533.87814,132.8785708,35.40044602,12747.5256,4506.674867,2844.945479,16641.20554,6001.709473,6947.720098,58084.2643,,269.6037638,5413.417368,7291.4221,,11765.73295,1253.776223,3244.997378,1486.411469,2398.892517,,,,6935.518824,,,
1987,,,642.6899615,,1596.870657,228.9365781,,,62.31702953,146.6767947,63.42053398,47.85554423,219.9656832,10.55368336,,55.27973252,178.8821871,23.61178638,191.9700942,81.05683048,,,621.0238267,,1.331708117,38.55162736,,5.72680745,1271.753289,15.61118478,,77.13067572,20.1067036,55.59036361,49.13281719,8.375595684,78.97471956,,15.04951567,622.3138089,42.83398619,106.0640231,16.6413797,6.215398085,43.62467473,4907.495427,,689.5467105,15.07203436,217.9059325,67.46833349,158.4309839,381.3142607,160.4876301,,,,0,,158.1779431,609.6838341,542.5811068,,231.7536482,68.46729408,2204.151718,,187.1940032,,,17328.83951,671576.0211,,7291.554672,265.8880672,12354.22096,2895.699991,1785.429312,1157.047547,20.38976242,248.981496,6132.023439,900.2314358,17.4879782,,,,,,,,,,36502.44038,,14297.62192,,9322.839986,,,682.0565159,18539.73369,66.2436587,4221.861709,658.2109265,,217.1661063,1.867068988,2237.21725,,1915.416367,232.9470034,1616.211132,2797.881725,3540.891113,,788.0886852,,13165.1739,50.16088755,2238.86167,97.73398934,,,,,,,,7857.745873,,,3158.15788,,,,,,7398.361857,7763.405723,,,,,,,,,,,,,,,3598.670126,8525.998417,416.645614,4320.499714,2348.438573,53202.96411,62198.32436,5971.681048,0,835.5616382,28870.5727,152.1614278,43.39069754,12978.23009,4795.962393,2960.714843,17611.18198,6403.571764,6683.839078,57450.92457,,274.3919575,4597.897402,6688.926588,,14381.90597,1256.288396,3189.637408,369.9936684,2054.088919,2405.002589,26083.45406,,6623.626458,,,
1988,,,635.982416,,1723.320678,264.8701544,,279.5903415,61.93139979,187.2205828,67.9841381,57.90604768,202.881702,10.3095612,,107.8249323,,174.4610534,185.6333428,72.96732332,,,748.1677163,,1.755189385,20.28688724,,,1227.339867,14.64277257,,71.81562042,16.2240361,54.86089605,48.56794939,10.28485033,72.51685073,,,611.6034494,40.60875434,112.8787284,16.85633021,8.687568951,,5760.266868,,752.9174266,14.59919994,198.2520957,66.46726869,158.3089131,284.2328719,168.1722066,,,,0,,139.3533604,515.0446533,606.2729963,5.731952985,238.9926024,77.26894459,2049.217784,,184.9067782,,,17600.82988,657527.2731,,7288.623212,235.6668509,15397.4722,2416.42138,2054.690936,1237.696818,15.50365827,309.9421517,3096.691517,1024.352282,19.34035895,,,,,,,,,,38344.25802,,15188.93683,,10375.79458,,,749.7046151,18983.37608,68.43580421,4369.485109,455.3205408,,350.1980684,2.815513981,2137.739071,,1244.558026,241.8164193,2078.851746,3017.657573,3570.068836,,1277.101427,,12698.02469,50.66967926,1969.717085,96.68555803,,,,,,,,8045.67301,,,3650.807812,,,,,,7649.221166,8458.075642,,,,,,,,,,,,,277370.4501,,3402.185149,8169.058223,477.507354,4406.985625,2478.476285,53175.85062,61699.9942,6314.502952,0,831.0882459,30668.97443,173.5803919,39.80539929,12927.92724,4570.953715,3287.70934,17805.25121,6435.411731,6982.602262,55415.72287,,318.4748129,3621.331182,6183.323149,,14484.48988,1183.742557,4012.691711,281.0089357,2039.270701,2610.398962,23872.53145,,5834.128507,,,3191.550861
1989,,,621.6304047,,1863.509777,273.4012452,,358.8065552,51.33781833,202.7448165,85.48686211,64.8486802,210.2374613,,,86.86163094,,54.74100002,199.1750811,71.82990973,,,882.0199683,,2.308594962,21.490402,,7.307657687,1139.033865,19.6328467,,69.00836797,17.5594257,56.43878691,42.92635939,13.98221372,90.97634812,,,415.4589579,47.8986354,113.8596442,18.6747305,15.87534281,,5681.548851,,,15.68036092,191.9088107,69.7457122,143.0781556,410.7846128,175.5663316,,,7.217827615,0,,116.2755607,521.1799413,605.2423908,6.065121112,227.4508997,93.60890542,2171.947967,,182.7335666,,,17511.81909,651972.4107,,5924.634921,256.4744605,16204.40537,2225.014223,2094.32925,1173.79746,12.14554519,258.9540883,2145.140087,1126.819779,27.2970062,,,,,,,,,20132.39976,40003.92461,,16153.36658,,11379.80922,,,820.2689946,20003.62907,74.51284247,4382.408768,351.2715926,,349.5411077,5.165487768,2191.519652,,1491.387866,429.6614096,1956.339477,3342.164239,3692.021421,,1686.042685,,12591.04889,58.33049034,2036.348662,105.0808434,,,277.8971651,,4083.478517,,,11882.84883,,,2892.682482,,,,,,6214.994077,9007.240376,,,,,,,,,,,,,257189.2604,,3366.743289,8042.46074,490.1496703,4298.132526,2471.621271,53827.69442,61531.25564,5920.62534,0,821.4102411,30911.01676,158.924188,39.57833589,13050.18116,4692.295592,3450.770768,17709.8104,6510.939191,7118.665373,55903.59748,,329.9048409,2919.315858,4573.185282,,11448.76653,941.6253672,4981.245006,,2047.405538,2182.137924,22558.44581,,6750.40434,,,3069.117552
1990,,,664.063972,,1830.035718,251.409056,,312.3795292,49.85221423,255.438546,92.70031543,68.34545861,218.2151915,,,45.45539978,,38.71069886,190.265389,69.1629242,,,842.5864168,,2.720958693,23.09294066,,,1161.288843,18.54312181,,72.17073902,16.57207789,54.1905112,40.39326213,17.42735773,82.58565232,,,686.0803866,109.7399279,114.9622064,19.34339453,16.39799014,,5116.863383,,871.9763583,22.28105982,159.0679865,71.43859031,144.762505,361.7064043,176.5013741,,,7.668303275,0,,92.81203496,442.8598622,595.1883267,5.984585435,184.4355007,90.53587566,2057.196249,97.56835107,130.086679,,,17495.34746,624852.4858,,4023.470713,347.9054493,13508.64976,2103.031297,2190.007376,1232.104961,6.411762782,251.2072924,1796.041113,1100.530253,16.19168822,,,,,,,,,21939.13998,41962.50517,,16744.52671,128.574892,12006.19489,,,815.3569336,19703.9862,77.63200605,4625.225688,478.1625353,,395.0166553,12.00978026,2423.160871,,1601.781253,510.9043605,1943.429796,3835.45564,3962.694613,,2009.655708,,12653.10123,56.52613965,2120.696513,141.4029376,,,285.5910423,,3298.451773,,,10366.0607,,,2502.710437,,,,,,6455.974535,3967.192986,,,,,,,,,,,,,217578.5365,,3404.495914,7890.3184,729.4311929,4301.424451,2515.811481,53589.60542,64845.92905,5985.886689,0,932.3603938,29731.26841,165.4366224,34.78810097,12682.98516,4730.179983,3547.524457,17964.171,6632.992654,7549.824176,55983.24412,,358.7568575,2874.889783,4060.382654,,12090.67994,788.3016518,19219.12039,894.6788963,2300.179279,1974.573496,28349.03051,,8156.833197,,3199.826697,
